[20:31:30] [info] VELOCITY: Creating window Velocity Editor Size:(1280,720)
[20:31:30] [trace] VELOCITY: Validation Layer: loaderGetDeviceRegistryFiles: GUID for 23 is not SoftwareComponent skipping
[20:31:30] [trace] VELOCITY: Validation Layer: Searching for ICD drivers named .\nvoglv64.dll
[20:31:30] [trace] VELOCITY: Validation Layer: Build ICD instance extension list
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_KHR_device_group_creation (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_KHR_external_fence_capabilities (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_KHR_external_memory_capabilities (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_KHR_external_semaphore_capabilities (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_KHR_get_physical_device_properties2 (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.2
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_KHR_get_surface_capabilities2 (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_KHR_surface (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.25
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_KHR_surface_protected_capabilities (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_KHR_win32_surface (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.6
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_EXT_debug_report (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.9
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_EXT_debug_utils (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.2
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_EXT_swapchain_colorspace (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.4
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_NV_external_memory_capabilities (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Loading layer library C:\VulkanSDK\1.2.162.0\Bin\.\VkLayer_khronos_validation.dll
[20:31:30] [trace] VELOCITY: Validation Layer: Loading layer library C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll
[20:31:30] [trace] VELOCITY: Validation Layer: Build ICD instance extension list
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_KHR_device_group_creation (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_KHR_external_fence_capabilities (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_KHR_external_memory_capabilities (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_KHR_external_semaphore_capabilities (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_KHR_get_physical_device_properties2 (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.2
[20:31:30] [trace] VELOCITY: Validation Layer: Instance Extension: VK_KHR_get_surface_capabilities2 (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
